essere,be,,,,,
avere,have,,,,,
andare,go,,,,,
fare,do,,,,,
dire,say,,,,,
potere,can,,,,,
volere,want,,,,,
sapere,know,,,,,
vedere,see,,,,,
deve,must,,,,,
venire,come,,,,,
seguire,follow,,,,,
parlare,speak,,,,,
prendere,take,,,,,
credere,believe,,,,,
amare,love,,,,,
deve,must,,,,,
passare,pass,,,,,
pensare,think,,,,,
aspettare,wait,,,,,
trovare,find,,,,,
lasciare,let,,,,,
arrivare,arrive,,,,,
dare,give,,,,,
guardare,look,,,,,
chiamare,call,,,,,
lasciare,leave,,,,,
mettere,put,,,,,
rimanere,stay,,,,,
fermarsi,stop,,,,,
sapere,know,,,,,
chiedere,ask,,,,,
capire,understand,,,,,
uscire,go out,,,,,
ascoltare,listen,,,,,
cercare,seek,,,,,
aiuto,help,,,,,
provare,try,,,,,
tornare,return,,,,,
giocare,play,,,,,
finire,finish,,,,,
perdere,lose,,,,,
sentire,feel,,,,,
ritornare,return,,,,,
vivere,live,,,,,
restituire,return,,,,,
tenere,keep,,,,,
dimenticare,forget,,,,,
lavorare,work,,,,,
mangiare,eat,,,,,
entrare,enter,,,,,
diventare,become,,,,,
iniziare,start,,,,,
pagare,pay,,,,,
tirare,pull,,,,,
aprire,open,,,,,
cambiare,change,,,,,
scusa,sorry,,,,,
dormire,sleep,,,,,
occupare,occupy,,,,,
camminare,walk,,,,,
inviare,send,,,,,
imparare,learn,,,,,
bere,drink,,,,,
tenere,hold,,,,,
mostrare,show,,,,,
seduto,sit,,,,,
portare,carry,,,,,
pregare,pray,,,,,
servire,serve,,,,,
scrivere,write,,,,,
trovare,find,,,,,
vincere,win,,,,,
acquistare,buy,,,,,
ricordare,remember,,,,,
leggere,read,,,,,
andare su,go on,,,,,
lasciare,let,,,,,
prendere,take,,,,,
toccare,touch,,,,,
continuare,continue,,,,,
dire,say,,,,,
rispondere,respond,,,,,
salvare,save,,,,,
incontrare,meet,,,,,
chiudere,close,,,,,
valore,value,,,,,
contare,count,,,,,
muovere,move,,,,,
portare,bring,,,,,
decidere,decide,,,,,
vendere,sell,,,,,
spiegare,explain,,,,,
agire,act,,,,,
adorare,adore,,,,,
ricevere,receive,,,,,
usare,use,,,,,
sdraiarsi,lie down,,,,,
preferire,prefer,,,,,
offrire,offer,,,,,
preparare,prepare,,,,,
scegliere,choose,,,,,
guidare,guide,,,,,
cantare,sing,,,,,
presentare,present,,,,,
accettare,accept,,,,,
rifiutare,refuse,,,,,
finire,finish,,,,,
divertire,entertain,,,,,
interessare,interest,,,,,
ridere,laugh,,,,,
perdonare,forgive,,,,,
baciare,kiss,,,,,
ballare,dance,,,,,
odio,hate,,,,,
mantenere,maintain,,,,,
supporre,suppose,,,,,
sposare,marry,,,,,
avvicinarsi,approach,,,,,
paura,fear,,,,,
urlare,scream,,,,,
invitare,invite,,,,,
organizzare,organize,,,,,
ringraziare,thank,,,,,
ripetere,repeat,,,,,
firmare,sign,,,,,
accompagnare,accompany,,,,,
osare,dare,,,,,
consentire,allow,,,,,
annullare,cancel,,,,,
lavare,wash,,,,,
lamentarsi,complain,,,,,
ferire,hurt,,,,,
bisogno,need,,,,,
scrivere,write,,,,,
tradurre,translate,,,,,
spegni,turn off,,,,,
accendere,turn on,,,,,
svegliare su,wake up up,,,,,
aggiungi,add,,,,,
spuntino,snack,,,,,
costo,cost,,,,,
cucina,cooking,,,,,
descrivi,describe,,,,,
cancella,delete,,,,,
insegna,tell,,,,,
pulisci,clean,,,,,
nota,note,,,,,
riconosci,recognize,,,,,
sostituisci,replace,,,,,
visita,visit,,,,,
desidera,want,,,,,
cadi,fall,,,,,
acclama,acclaim,,,,,
concedi,grant,,,,,
corri,run,,,,,
agganciare,hook,,,,,
benvenuto,welcome,,,,,
acquisisci,acquire,,,,,
aggiungi,add,,,,,
ammira,admire,,,,,
annuncia,announce,,,,,
strappa,snatch,,,,,
aumenta,increase,,,,,
abbi ragione,be right,,,,,
scherza,joke,,,,,
causa,cause,,,,,
cammina,walk,,,,,
confondi,confuse,,,,,
consiglia,recommend,,,,,
spendi,spend,,,,,
prendi in prestito,borrow,,,,,
metti a dormire,put to sleep,,,,,
evita,avoid,,,,,
congratulati,congratulate,,,,,
lamentati,complain,,,,,
informa,inform,,,,,
nome,name,,,,,
loda,praise,,,,,
senti,feel,,,,,
scuoti,shake,,,,,
supporta,support,,,,,
impreca,swear,,,,,
fraintendi,misunderstand,,,,,
mescola,mix,,,,,
memorizza,memorize,,,,,
restituisci,return,,,,,
rifiuta,refuse,,,,,
gestisci,manage,,,,,
rifletti,reflect,,,,,
spremi,squeeze,,,,,
diffondi,spread,,,,,
colpisci,hit,,,,,
rimetti a posto,put back,,,,,
metti su,put up,,,,,
registra,record,,,,,
pesce,fish,,,,,
arrossisci,blush,,,,,
tossisci,cough,,,,,
piangi,cry,,,,,
solleva,lift,,,,,